month,report_date,status,aum_lakhs,aum_crores,direct_nav_start,direct_nav_end,regular_nav_start,regular_nav_end,foreign_equity_lakhs,foreign_equity_pct,hedged_pct,commission_paid_rs,brokerage_paid_rs,ptr_inc_arbitrage,ptr_exc_arbitrage
January,2016-01-31,Active,61389.4326,613.8943,17.7309,16.5919,17.5077,16.3756,16807.6963,27.38,31.74,169610.96,199801.0,0.8144,0.06709999999999999
February,2016-02-29,Active,58773.0713,587.7307,16.6609,15.6564,16.4431,15.4451,17022.4491,28.96,35.19,173882.68,282382.0,0.8389,0.0601
March,2016-03-31,Missing (0 bytes),,,,,,,,,,,,,
April,2016-04-30,Active,66389.3566,663.8936,17.0291,17.1537,16.7914,16.9071,17200.7699,25.91,31.5,193890.0,362887.0,0.857,0.0317
May,2016-05-31,Active,68389.5979,683.896,17.1537,17.4491,16.9071,17.1897,18087.1456,26.45,33.3,203765.71,409155.0,0.8817,0.029300000000000003
June,2016-06-30,Missing (0 bytes),,,,,,,,,,,,,
July,2016-07-31,Active,66415.8543,664.1585,17.5883,18.3486,17.3186,18.0593,18640.2382,28.07,28.3,188991.33,108694.0,0.9288,0.042699999999999995
August,2016-08-31,Active,68744.9599,687.4496,18.3375,18.8414,18.0478,18.5351,18930.5063,27.54,29.11,265637.13,344061.0,0.897,0.0262
September,2016-09-30,Active,67599.5788,675.9958,18.7248,18.6047,18.4201,18.2937,18862.1011,27.9,29.52,266276.36,319181.0,0.8431000000000001,0.027000000000000003
October,2016-10-31,Active,69120.6219,691.2062,18.6047,19.0744,18.2937,18.7473,18759.7876,27.14,32.22,316003.0,1333948.54,0.9170999999999999,0.1153
November,2016-11-30,Active,67513.6434,675.1364,19.0649,18.4973,18.7368,18.1707,19288.0161,28.57,31.84,321671.68,656583.26,0.907,0.12359999999999999
December,2016-12-31,Active,66081.2959,660.813,18.4634,18.4589,18.1371,18.1245,19514.0979,29.53,33.0,312826.21,502063.46,0.9125,0.1315
